decimalLongitude,decimalLatitude,depth,year,month,scientificName,aphiaID,depth0,valid_AphiaID,BO_sstmean,BO2_tempmean_bdmean
1.289999,51.10818,NA,2010, 7,Laminaria digitata,145724,0,145724,12.359999656677246,12.335407257080078
1.438179,51.3909,NA,2015, 3,Laminaria digitata,145724,0,145724,12.460000038146973,12.352057456970215
10.2963,59.0432,4,  NA,"NA",Laminaria digitata,145724,4,145724,10.119999885559082,8.71924877166748
-3.51345,48.888767,8.8,  NA,"NA",Laminaria digitata,145724,8.8,145724,12.963000297546387,12.928750038146973
-3.288587,50.6408,NA,1994,10,Laminaria digitata,145724,0,145724,12.916000366210938,12.406529426574707
-2.13885,48.63531,NA,2014, 4,Laminaria digitata,145724,0,145724,13.211000442504883,13.182144165039062
-4.95999,48.38982,NA,2014, 4,Laminaria digitata,145724,0,145724,12.795999526977539,12.954861640930176
8.4289,58.2382,30,  NA,"NA",Laminaria digitata,145724,30,145724,10.343999862670898,7.4410481452941895
-5.222505,50.33533,13,2008, 5,Laminaria digitata,145724,13,145724,12.711000442504883,12.462105751037598
-6.615026,58.08794,NA,1990, 8,Laminaria digitata,145724,0,145724,NA,NA
-4.809779,51.64355,NA,1996, 3,Laminaria digitata,145724,0,145724,NA,NA
10.5268,59.0267,30,  NA,"NA",Laminaria digitata,145724,30,145724,10.324000358581543,7.074940204620361
-4.08531,52.42389,NA,1997, 4,Laminaria digitata,145724,0,145724,12.152000427246094,11.882437705993652
-2.001578,55.78651,NA,1992, 7,Laminaria digitata,145724,0,145724,10.199999809265137,9.616442680358887
-4.652974,51.16243,NA,1984, 4,Laminaria digitata,145724,0,145724,12.456999778747559,10.992897033691406
-6.427676,57.02884,NA,2018, 8,Laminaria digitata,145724,0,145724,10.95300006866455,9.708073616027832
137.066665649,-51.2666664124,0,1994,12,Laminaria digitata,145724,0,145724,6.343999862670898,1.2542879581451416
12.45273,56.29692,6.5,2007, 8,Laminaria digitata,145724,6.5,145724,9.994000434875488,9.635401725769043
-4.69108,51.14447,NA,2011, 9,Laminaria digitata,145724,0,145724,12.456999778747559,10.992897033691406
-2.248284,50.61826,5.350000025,2011, 4,Laminaria digitata,145724,5.350000025,145724,12.468999862670898,12.295721054077148
-5.654371,54.22514,9,1983, 5,Laminaria digitata,145724,9,145724,11.019000053405762,10.59605598449707
6.7147,58.2216,8,  NA,"NA",Laminaria digitata,145724,8,145724,8.769000053405762,7.1416239738464355
10.5268,59.0267,8,  NA,"NA",Laminaria digitata,145724,8,145724,10.324000358581543,7.074940204620361
-0.2634974,54.2162,NA,2012,10,Laminaria digitata,145724,0,145724,10.34000015258789,10.400572776794434
12.48586,56.29981,2.5,2007, 8,Laminaria digitata,145724,2.5,145724,10.223999977111816,9.979775428771973
-5.110609166788777,51.68406807618131,NA,1998, 6,Laminaria digitata,145724,0,145724,11.895999908447266,11.914915084838867
