decimalLongitude,decimalLatitude,depth,year,month,scientificName,aphiaID,depth0,valid_AphiaID,BO_sstmean,BO2_tempmean_bdmean
10.5661,55.4488,2.5,1987,10,Ciona intestinalis,103732,2.5,103732,9.86400032043457,9.966968536376953
-62.59317,46.17668,NA,  NA,"NA",Ciona intestinalis,103732,0,103732,7.505000114440918,7.529426097869873
-5.95076,54.96929,NA,2015, 9,Ciona intestinalis,103732,0,103732,10.668000221252441,10.592087745666504
0.22954,50.35914,43.2,2014, 7,Ciona intestinalis,103732,43.2,103732,12.720999717712402,12.015570640563965
-4.893244,51.663092,NA,2002,10,Ciona intestinalis,103732,0,103732,NA,NA
11.89516,57.43337,10,2012, 7,Ciona intestinalis,103732,10,103732,9.630999565124512,9.8890838623046875
-5.139332,51.70366,13.5,2016,10,Ciona intestinalis,103732,13.5,103732,11.895999908447266,11.914915084838867
-6.496091,55.74135,19.5,1999, 8,Ciona intestinalis,103732,19.5,103732,10.791999816894531,10.698887825012207
-65.8873,43.7347,NA,  NA,"NA",Ciona intestinalis,103732,0,103732,8.321000099182129,8.553304672241211
-118.271186829,33.7543487549,1,2003, 9,Ciona intestinalis,103732,1,103732,NA,NA
-64.2384,44.5378,NA,  NA,"NA",Ciona intestinalis,103732,0,103732,7.920000076293945,8.386625289916992
11.178283,55.340083,NA,2015, 4,Ciona intestinalis,103732,0,103732,10.050000190734863,10.099898338317871
-5.572232,56.22517,17.6999998,2009, 9,Ciona intestinalis,103732,17.6999998,103732,9.651000022888184,10.684950828552246
-5.087057,56.54237,20.5,1990, 9,Ciona intestinalis,103732,20.5,103732,NA,NA
11.83246,57.4205,NA,2012, 7,Ciona intestinalis,103732,0,103732,10.156000137329102,9.692572593688965
-7.726803,55.16534,NA,1993, 7,Ciona intestinalis,103732,0,103732,9.604000091552734,11.381585121154785
-64.33362,44.36113,NA,  NA,"NA",Ciona intestinalis,103732,0,103732,7.901000022888184,8.703351974487305
-6.190611,56.33734,20.5,1989, 8,Ciona intestinalis,103732,20.5,103732,10.87399959564209,10.002876281738281
11.386,58.26128,8,2013, 7,Ciona intestinalis,103732,8,103732,9.84000015258789,9.791712760925293
