decimalLongitude,decimalLatitude,depth,year,month,scientificName,aphiaID,depth0,valid_AphiaID,BO_sstmean,BO2_tempmean_bdmean
-66.6829986572,42.9000015259,201,1965, 8,Aquiloniella scabra,760213,201,760213,8.810999870300293,10.712259292602539
-65.9499969482,41.9000015259,108,1956, 8,Aquiloniella scabra,760213,108,760213,10.118000030517578,12.580904960632324
2.95466666667,56.6781666667,73,  NA,"NA",Aquiloniella scabra,760213,73,760213,10.520000457763672,8.51455020904541
-69.2829971313,42.766998291,73,1965, 8,Aquiloniella scabra,760213,73,760213,10.397000312805176,7.019556045532227
-67.75,41.6669998169,91,1872,"NA",Aquiloniella scabra,760213,91,760213,10.618000030517578,10.282062530517578
-65.7175,62.5675,0,1976, 8,Aquiloniella scabra,760213,0,760213,-0.2409999966621399,-0.9840800166130066
-67.5,43.8330001831,214,1961, 6,Aquiloniella scabra,760213,214,760213,9.138999938964844,10.912232398986816
2.95466666667,56.6781666667,73,  NA,"NA",Aquiloniella scabra,760213,73,760213,10.520000457763672,8.51455020904541
25.34167,75.92167,NA,1992, 6,Aquiloniella scabra,760213,0,760213,0.23100000619888306,1.588215947151184
-66.6829986572,42.9000015259,201,1965, 8,Aquiloniella scabra,760213,201,760213,8.810999870300293,10.712259292602539
-2.47768,50.50869,76,2014, 4,Aquiloniella scabra,760213,76,760213,12.498000144958496,11.938508033752441
-69.0500030518,42.7000007629,156,1965, 8,Aquiloniella scabra,760213,156,760213,10.260000228881836,10.277567863464355
2.95466666667,56.6781666667,73,  NA,"NA",Aquiloniella scabra,760213,73,760213,10.520000457763672,8.51455020904541
8.3805,57.4816666667,86,  NA,"NA",Aquiloniella scabra,760213,86,760213,10.656000137329102,8.593873977661133
-68.9777832031,41.5538902283,125,1977, 5,Aquiloniella scabra,760213,125,760213,11.260000228881836,9.58879280090332
-69.2829971313,42.766998291,73,1965, 8,Aquiloniella scabra,760213,73,760213,10.397000312805176,7.019556045532227
58.7,81.125,79,1992, 6,Aquiloniella scabra,760213,79,760213,-1.1160000562667847,-0.6376640200614929
