decimalLongitude,decimalLatitude,depth,year,month,scientificName,aphiaID,depth0,valid_AphiaID,BO_sstmean,BO2_tempmean_bdmean
1.167664,52.94928,7.1999998,2015, 9,Sycon ciliatum,132251,7.1999998,132251,NA,NA
-2.078338,50.5779,NA,2019, 5,Sycon ciliatum,132251,0,132251,12.458999633789062,12.088723182678223
-0.09945381,50.81016,0.1000000015,1990, 6,Sycon ciliatum,132251,0.1000000015,132251,12.444999694824219,12.42001724243164
0.74314,53.23041,20.8,2011, 7,Sycon ciliatum,132251,20.8,132251,10.878999710083008,10.906434059143066
1.620271,52.80971,17.5,2013, 8,Sycon ciliatum,132251,17.5,132251,11.253999710083008,11.194730758666992
-5.161871,50.39073,16.5,2016, 4,Sycon ciliatum,132251,16.5,132251,12.711000442504883,12.462105751037598
-2.974027,58.85224,1.70000005,1997, 5,Sycon ciliatum,132251,1.70000005,132251,9.777000427246094,9.67811393737793
-7.155643,57.60827,NA,1978, 5,Sycon ciliatum,132251,0,132251,10.699999809265137,10.213555335998535
-8.825822,54.65992,33.7000008,1996, 7,Sycon ciliatum,132251,33.7000008,132251,11.729999542236328,10.2828950881958
-5.043164,50.04542,19.6500006,2015, 6,Sycon ciliatum,132251,19.6500006,132251,13.04699993133545,11.14637279510498
-2.471339,50.58316,NA,2018,11,Sycon ciliatum,132251,0,132251,12.437999725341797,12.204387664794922
2.4879000186920166,51.387298583984375,31,2005, 3,Sycon ciliatum,132251,31,132251,12.26200008392334,12.074806213378906
1.217486,52.94649,3.70000005,2016, 6,Sycon ciliatum,132251,3.70000005,132251,NA,NA
1.05981,53.1792,19.4,2009, 5,Sycon ciliatum,132251,19.4,132251,10.824999809265137,10.763708114624023
-4.884148,51.72197,NA,1978,10,Sycon ciliatum,132251,0,132251,NA,NA
0.44331,53.58882,17,2014, 9,Sycon ciliatum,132251,17,132251,10.604000091552734,10.548307418823242
-5.624163,54.40851,10.950000295,2003, 7,Sycon ciliatum,132251,10.950000295,132251,10.725000381469727,11.020543098449707
29.4,43.76,67,2011, 4,Sycon ciliatum,132251,67,132251,15.303000450134277,9.352601051330566
-0.29997,50.20777,0,2006, 7,Sycon ciliatum,132251,0,132251,12.694000244140625,11.904646873474121
-6.650931,55.20766,6,1979, 6,Sycon ciliatum,132251,6,132251,11.144000053405762,10.785712242126465
1.135684,52.95126,5.900000095,2017,10,Sycon ciliatum,132251,5.900000095,132251,NA,NA
-70.6588897705,42.6104011536,NA,2007, 7,Sycon ciliatum,132251,0,132251,10.267999649047852,10.931097030639648
-2.192208,49.29687,22.5,2014, 6,Sycon ciliatum,132251,22.5,132251,12.956999778747559,13.051523208618164
-5.226124,49.94883,23.5,2017, 5,Sycon ciliatum,132251,23.5,132251,12.494999885559082,11.157224655151367
-4.933380883408531,51.70707078720474,NA,1978, 7,Sycon ciliatum,132251,0,132251,NA,NA
-2.821489,50.6929,NA,2016, 6,Sycon ciliatum,132251,0,132251,12.63700008392334,12.353241920471191
-1.92206,50.42341,39.7,2012, 5,Sycon ciliatum,132251,39.7,132251,12.47599983215332,12.08957576751709
-5.80237,51.93536,100,2012, 2,Sycon ciliatum,132251,100,132251,12.39799976348877,10.057153701782227
-9.917517,51.63544,11.3000002,1993, 6,Sycon ciliatum,132251,11.3000002,132251,NA,NA
-4.070249,53.2811,7,2016, 6,Sycon ciliatum,132251,7,132251,11.588000297546387,11.469403266906738
-6.248398,49.94499,2.25,2007, 5,Sycon ciliatum,132251,2.25,132251,12.505999565124512,12.302018165588379
-2.263843,50.59023,NA,2018, 8,Sycon ciliatum,132251,0,132251,12.50100040435791,12.438390731811523
-4.164719,52.59753,NA,1986, 7,Sycon ciliatum,132251,0,132251,12.04800033569336,11.658038139343262
1.096926,52.95804,6.04999995,2013, 8,Sycon ciliatum,132251,6.04999995,132251,NA,NA
-6.71998,55.80133,0,2012, 6,Sycon ciliatum,132251,0,132251,10.784000396728516,10.65945053100586
-4.607165,53.42108,13.5,2003, 6,Sycon ciliatum,132251,13.5,132251,11.406999588012695,11.059853553771973
-4.117402,50.30266,26.5,2006, 5,Sycon ciliatum,132251,26.5,132251,12.777999877929688,11.734655380249023
-5.640338,54.4275,NA,2014, 8,Sycon ciliatum,132251,0,132251,10.725000381469727,11.020543098449707
-9.888409,54.27085,24.5,1994, 8,Sycon ciliatum,132251,24.5,132251,11.755000114440918,11.785289764404297
-5.666597,51.72445,16.5,2017, 6,Sycon ciliatum,132251,16.5,132251,12.180999755859375,10.16651725769043
-5.524349,54.33222,13.0500002,2015, 5,Sycon ciliatum,132251,13.0500002,132251,10.890999794006348,10.794981002807617
-0.09593777,54.10183,NA,1987, 8,Sycon ciliatum,132251,0,132251,10.331999778747559,10.478994369506836
-5.621093,54.41094,15,2007, 5,Sycon ciliatum,132251,15,132251,10.725000381469727,11.020543098449707
-6.108719,56.78812,25.5,1994, 6,Sycon ciliatum,132251,25.5,132251,10.850000381469727,9.915507316589355
1.219219,52.94919,9.150000095,2010, 7,Sycon ciliatum,132251,9.150000095,132251,NA,NA
-9.8303,51.77598,18,1995, 8,Sycon ciliatum,132251,18,132251,12.404999732971191,12.24328899383545
-5.563335,50.061,4.5,2011, 5,Sycon ciliatum,132251,4.5,132251,12.741999626159668,11.552071571350098
-2.536782,59.2679,NA,1999, 9,Sycon ciliatum,132251,0,132251,9.82699966430664,9.904112815856934
1.135847,52.95258,4.400000095,2018, 8,Sycon ciliatum,132251,4.400000095,132251,NA,NA
-5.714197,54.8418,NA,2007, 4,Sycon ciliatum,132251,0,132251,10.951000213623047,9.948418617248535
