decimalLongitude,decimalLatitude,depth,year,month,scientificName,aphiaID,depth0,valid_AphiaID,BO_sstmean,BO2_tempmean_bdmean
-4.760388,59.69135,114,2011, 9,Myxicola infundibulum,130932,114,130932,10.63700008392334,9.2195892333984375
11.248752,57.251923,0,  NA,"NA",Myxicola infundibulum,130932,0,130932,10.348999977111816,9.756032943725586
-5.034123,54.93095,6,1988, 9,Myxicola infundibulum,130932,6,130932,10.562999725341797,10.9307222366333
-9.872219,53.62836,16.5,2010, 9,Myxicola infundibulum,130932,16.5,130932,11.208999633789062,11.867271423339844
-5.808573405037043,57.72519001221237,NA,2010, 3,Myxicola infundibulum,130932,0,130932,10.706000328063965,10.322222709655762
-5.567741,57.3575,15,2009, 1,Myxicola infundibulum,130932,15,130932,8.956999778747559,10.372062683105469
-1.434516,55.0589,7.900000095,2017, 9,Myxicola infundibulum,130932,7.900000095,130932,10.020999908447266,10.20738410949707
-5.016219,50.15453,NA,2010, 1,Myxicola infundibulum,130932,0,130932,12.878999710083008,12.275164604187012
-3.326262,50.62087,5.5,2005, 7,Myxicola infundibulum,130932,5.5,130932,12.916000366210938,12.406529426574707
-2.50097,50.59888,NA,2002, 7,Myxicola infundibulum,130932,0,130932,12.567000389099121,12.197568893432617
-6.193433,57.03952,NA,2018, 8,Myxicola infundibulum,130932,0,130932,10.989999771118164,9.974747657775879
-3.043199,58.9046,32,1986, 5,Myxicola infundibulum,130932,32,130932,9.954000473022461,9.913445472717285
-5.877901,56.67018,21.5,2019,10,Myxicola infundibulum,130932,21.5,130932,9.138999938964844,10.146064758300781
-5.019568,50.15236,NA,2010, 1,Myxicola infundibulum,130932,0,130932,12.878999710083008,12.275164604187012
-5.092627,51.7021,NA,1978, 7,Myxicola infundibulum,130932,0,130932,11.895999908447266,11.914915084838867
-5.019491,50.15224,NA,2010, 1,Myxicola infundibulum,130932,0,130932,12.878999710083008,12.275164604187012
-6.446139179683623,57.04233416352543,NA,2010, 5,Myxicola infundibulum,130932,0,130932,10.914999961853027,9.580772399902344
-5.35397,55.89715,15.5,1988, 8,Myxicola infundibulum,130932,15.5,130932,10.9399995803833,10.556510925292969
-9.45739,51.52263,5.5,1975, 8,Myxicola infundibulum,130932,5.5,130932,11.98900032043457,11.257790565490723
144.715,-38.07832,NA,  NA,"NA",Myxicola infundibulum,130932,0,130932,16.170000076293945,15.605853080749512
-5.026623,50.1798,19.5,2018, 6,Myxicola infundibulum,130932,19.5,130932,12.33899974822998,12.885950088500977
-5.012811,50.15266,NA,2010, 1,Myxicola infundibulum,130932,0,130932,12.878999710083008,12.275164604187012
-1.337001,54.86617,9.6999998,2018, 9,Myxicola infundibulum,130932,9.6999998,130932,10.281999588012695,10.277251243591309
-9.663992,53.34141,6,2013, 6,Myxicola infundibulum,130932,6,130932,10.982000350952148,11.99706745147705
-1.944134,49.2578,13.0999999,2014, 8,Myxicola infundibulum,130932,13.0999999,130932,12.960000038146973,12.79768180847168
-5.352386,57.99873,NA,2014,11,Myxicola infundibulum,130932,0,130932,10.048999786376953,10.09650707244873
-74.0329971313,38.75,48,1978, 9,Myxicola infundibulum,130932,48,130932,14.772000312805176,17.819570541381836
-5.401224,56.53821,25.5,1989, 6,Myxicola infundibulum,130932,25.5,130932,8.96399974822998,10.622808456420898
144.78,-38.3383,NA,  NA,"NA",Myxicola infundibulum,130932,0,130932,16.091999053955078,15.640195846557617
-4.471831,53.08135,14.9500003,2010, 6,Myxicola infundibulum,130932,14.9500003,130932,11.875,11.430350303649902
-5.047696,56.23792,21,2016,11,Myxicola infundibulum,130932,21,130932,9.640000343322754,10.732710838317871
-5.011672,50.15326,NA,2010, 1,Myxicola infundibulum,130932,0,130932,12.878999710083008,12.275164604187012
-4.991152,58.24601,24.5,1988,10,Myxicola infundibulum,130932,24.5,130932,NA,NA
-5.153793,51.69721,10.25,2019, 5,Myxicola infundibulum,130932,10.25,130932,11.895999908447266,11.914915084838867
-6.456844,58.13216,NA,1990, 8,Myxicola infundibulum,130932,0,130932,10.737000465393066,10.526933670043945
-5.154395,51.69755,9.19999981,2019, 5,Myxicola infundibulum,130932,9.19999981,130932,11.895999908447266,11.914915084838867
-5.00408,50.15275,NA,1985, 5,Myxicola infundibulum,130932,0,130932,12.993000030517578,11.316400527954102
17.9621,40.66,4,  NA,"NA",Myxicola infundibulum,130932,4,130932,18.57200050354004,19.105241775512695
-5.062522,55.50685,NA,2018, 9,Myxicola infundibulum,130932,0,130932,11.243000030517578,10.119406700134277
-3.758806,50.24845,NA,1985, 9,Myxicola infundibulum,130932,0,130932,12.293999671936035,12.89797592163086
-5.569939,54.67694,12,2013, 7,Myxicola infundibulum,130932,12,130932,10.800000190734863,10.968363761901855
-4.143332,50.33467,8.25,2011, 7,Myxicola infundibulum,130932,8.25,130932,11.968000411987305,12.797130584716797
-3.8662,48.7083,NA,2003, 9,Myxicola infundibulum,130932,0,130932,12.947999954223633,13.096841812133789
-2.879683,50.67795,NA,2017,10,Myxicola infundibulum,130932,0,130932,12.642999649047852,12.349740028381348
17.2573,40.4963,10,  NA,"NA",Myxicola infundibulum,130932,10,130932,19.301000595092773,18.25457191467285
-5.012618,50.15561,NA,2010, 1,Myxicola infundibulum,130932,0,130932,12.878999710083008,12.275164604187012
-5.006907,50.15496,NA,2010, 1,Myxicola infundibulum,130932,0,130932,12.993000030517578,11.316400527954102
-5.229474,51.7386,NA,1973, 1,Myxicola infundibulum,130932,0,130932,11.937999725341797,11.090065002441406
-10.29457,51.93566,11,1995, 5,Myxicola infundibulum,130932,11,130932,12.175999641418457,12.22557544708252
-5.030672,50.165162,4.2,1992, 8,Myxicola infundibulum,130932,4.2,130932,12.33899974822998,12.885950088500977
-5.100985,51.71466,11.5,2007, 7,Myxicola infundibulum,130932,11.5,130932,12.25100040435791,12.028338432312012
-5.563664,54.68236,17.6000004,2012, 6,Myxicola infundibulum,130932,17.6000004,130932,10.800000190734863,10.968363761901855
-5.225201,55.9078,NA,2010,10,Myxicola infundibulum,130932,0,130932,9.767000198364258,10.593977928161621
-4.899523,56.14673,16,1989, 9,Myxicola infundibulum,130932,16,130932,9.456999778747559,10.158148765563965
-5.542909,57.36442,20,2010, 3,Myxicola infundibulum,130932,20,130932,8.956999778747559,10.372062683105469
-5.568135,56.12039,33,1989, 8,Myxicola infundibulum,130932,33,130932,10.300000190734863,10.682543754577637
-3.463528,50.46057,18,2015, 6,Myxicola infundibulum,130932,18,130932,12.984000205993652,12.372037887573242
-5.041528,50.17451,5,2017, 6,Myxicola infundibulum,130932,5,130932,12.33899974822998,12.885950088500977
-2.449167,50.55833,8,2010, 4,Myxicola infundibulum,130932,8,130932,12.437999725341797,12.204387664794922
-4.127435,50.30343,26,2012, 4,Myxicola infundibulum,130932,26,130932,12.777999877929688,11.734655380249023
-5.647506,57.38933,7.9499998,2015, 4,Myxicola infundibulum,130932,7.9499998,130932,8.89799976348877,10.411704063415527
-0.406313,50.78687,10.5,2019, 7,Myxicola infundibulum,130932,10.5,130932,12.461000442504883,12.553499221801758
-4.802848,56.15246,29,1989, 9,Myxicola infundibulum,130932,29,130932,NA,NA
-3.487371,50.46387,7.25,2012, 5,Myxicola infundibulum,130932,7.25,130932,12.984000205993652,12.372037887573242
-3.759778,50.23674,NA,1985, 9,Myxicola infundibulum,130932,0,130932,12.539999961853027,11.425928115844727
-1.446509,60.5079,NA,1986, 8,Myxicola infundibulum,130932,0,130932,9.928999900817871,9.764838218688965
-4.538637,52.99649,16.5,2011, 6,Myxicola infundibulum,130932,16.5,130932,11.767000198364258,11.388583183288574
-5.028711,50.15457,NA,2001, 1,Myxicola infundibulum,130932,0,130932,12.878999710083008,12.275164604187012
-4.970476,58.25557,17,1988,10,Myxicola infundibulum,130932,17,130932,NA,NA
-4.995848,58.25318,NA,1988,10,Myxicola infundibulum,130932,0,130932,NA,NA
8.7305,42.5799,NA,2018, 3,Myxicola infundibulum,130932,0,130932,18.440000534057617,14.048075675964355
-6.484559362609828,57.05985239255853,NA,2010, 8,Myxicola infundibulum,130932,0,130932,10.914999961853027,9.580772399902344
-4.138795,50.36005,14.5,2014, 9,Myxicola infundibulum,130932,14.5,130932,12.265999794006348,12.718353271484375
-5.030672,50.165162,4.7,1992, 8,Myxicola infundibulum,130932,4.7,130932,12.33899974822998,12.885950088500977
-4.977009134355025,51.68798252359731,NA,1996, 6,Myxicola infundibulum,130932,0,130932,11.295999526977539,12.233257293701172
-5.030672,50.165162,4.1,1992, 8,Myxicola infundibulum,130932,4.1,130932,12.33899974822998,12.885950088500977
-5.173236,51.78656,18.0500002,1994, 9,Myxicola infundibulum,130932,18.0500002,130932,12.178999900817871,11.845529556274414
-5.072321,55.53563,8,2014, 9,Myxicola infundibulum,130932,8,130932,11.243000030517578,10.119406700134277
-5.032635,50.16571,4.5,2002, 5,Myxicola infundibulum,130932,4.5,130932,12.33899974822998,12.885950088500977
-5.472005,56.35689,10,1989, 6,Myxicola infundibulum,130932,10,130932,NA,NA
-5.025933,50.17101,NA,2013, 9,Myxicola infundibulum,130932,0,130932,12.33899974822998,12.885950088500977
-67.0555366,44.9095235,NA,  NA,"NA",Myxicola infundibulum,130932,0,130932,8.46399974822998,8.514484405517578
-6.891689,58.18554,NA,1982, 9,Myxicola infundibulum,130932,0,130932,9.430999755859375,10.67376708984375
-5.030672,50.165162,NA,1982, 9,Myxicola infundibulum,130932,0,130932,12.33899974822998,12.885950088500977
-5.006817,50.15487,NA,2010, 1,Myxicola infundibulum,130932,0,130932,12.993000030517578,11.316400527954102
-5.030672,50.165162,NA,1982, 9,Myxicola infundibulum,130932,0,130932,12.33899974822998,12.885950088500977
-5.411743,57.22948,NA,2012, 8,Myxicola infundibulum,130932,0,130932,NA,NA
-5.496125,57.24747,26.1999998,2016,11,Myxicola infundibulum,130932,26.1999998,130932,NA,NA
-6.140094,57.44693,12.5,2014, 7,Myxicola infundibulum,130932,12.5,130932,10.906000137329102,10.0161714553833
