decimalLongitude,decimalLatitude,depth,year,month,scientificName,aphiaID,depth0,valid_AphiaID,BO_sstmean,BO2_tempmean_bdmean
-5.245723,51.73772,NA,1973, 6,Ancula gibbosa,140029,0,140029,11.937999725341797,11.090065002441406
-1.366798,60.11248,9.5,1987, 7,Ancula gibbosa,140029,9.5,140029,9.645999908447266,9.127716064453125
-1.33122,54.90385,11.5,2018, 9,Ancula gibbosa,140029,11.5,140029,10.295000076293945,10.228055953979492
-5.077508,58.45708,9.75,2019, 5,Ancula gibbosa,140029,9.75,140029,10.015000343322754,10.37814712524414
-1.345137,54.88234,6.5,2014, 8,Ancula gibbosa,140029,6.5,140029,10.281999588012695,10.277251243591309
-1.722993,50.69253,9,2008, 6,Ancula gibbosa,140029,9,140029,12.607999801635742,12.501335144042969
-1.352682,54.80735,14.75,2018, 8,Ancula gibbosa,140029,14.75,140029,10.281999588012695,10.277251243591309
-6.27404,56.82795,10,2012, 7,Ancula gibbosa,140029,10,140029,10.836000442504883,9.705456733703613
-1.89345,50.68513,10.19999981,2008, 7,Ancula gibbosa,140029,10.19999981,140029,12.708000183105469,12.647525787353516
-6.641432,55.21999,20,1982, 8,Ancula gibbosa,140029,20,140029,11.144000053405762,10.785712242126465
-5.615254,54.3996,20.4499998,2007, 7,Ancula gibbosa,140029,20.4499998,140029,10.725000381469727,11.020543098449707
-7.266649,57.39997,NA,1984, 1,Ancula gibbosa,140029,0,140029,10.86299991607666,10.665558815002441
-170.2791,57.1243,1,2019, 9,Ancula gibbosa,140029,1,140029,4.216000080108643,4.09309196472168
-4.160101,53.22332,13.6999998,2018, 6,Ancula gibbosa,140029,13.6999998,140029,NA,NA
-6.587777,55.22239,23,2010, 6,Ancula gibbosa,140029,23,140029,10.904999732971191,10.78061294555664
-4.650495,51.16284,13,2014, 7,Ancula gibbosa,140029,13,140029,12.456999778747559,10.992897033691406
-124.353,42.1043,NA,  NA,"NA",Ancula gibbosa,140029,0,140029,NA,NA
-6.746189,58.19285,NA,1982, 9,Ancula gibbosa,140029,0,140029,NA,NA
-1.374548,54.98702,11.5500002,2018, 8,Ancula gibbosa,140029,11.5500002,140029,10.295000076293945,10.228055953979492
-5.065852,55.5069,19.9499998,2017, 9,Ancula gibbosa,140029,19.9499998,140029,11.243000030517578,10.119406700134277
-2.147179,55.9185,10,2012, 6,Ancula gibbosa,140029,10,140029,10.185999870300293,9.30278205871582
-66.9830627441,44.9000015259,NA,1872,"NA",Ancula gibbosa,140029,0,140029,8.46399974822998,8.514484405517578
-5.158122,51.68434,NA,1988, 5,Ancula gibbosa,140029,0,140029,11.829000473022461,10.939772605895996
-5.267199936154754,51.6982540193942,NA,1973, 6,Ancula gibbosa,140029,0,140029,11.902000427246094,10.587653160095215
-3.9861,48.7265,NA,1950,"NA",Ancula gibbosa,140029,0,140029,12.982000350952148,13.060965538024902
-67.0555366,44.9095235,NA,  NA,"NA",Ancula gibbosa,140029,0,140029,8.46399974822998,8.514484405517578
-1.614175226920736,55.532961809428905,NA,  NA,"NA",Ancula gibbosa,140029,0,140029,9.944999694824219,10.111899375915527
-2.083216,55.87593,5,2016, 5,Ancula gibbosa,140029,5,140029,10.168000221252441,9.3973970413208
-70.0830001831,41.283000946,27,1875, 9,Ancula gibbosa,140029,27,140029,12.682000160217285,11.705458641052246
-0.9900062,50.76096,7,2001, 8,Ancula gibbosa,140029,7,140029,12.645999908447266,12.631665229797363
-1.85787,50.68357,14.5999999,2014, 6,Ancula gibbosa,140029,14.5999999,140029,12.595999717712402,12.53460693359375
-4.1711059,53.222001,NA,1936, 9,Ancula gibbosa,140029,0,140029,NA,NA
-2.528664,59.08934,10.5,2016, 5,Ancula gibbosa,140029,10.5,140029,9.92300033569336,9.399811744689941
-1.326493,54.90858,13.25,2016, 9,Ancula gibbosa,140029,13.25,140029,10.295000076293945,10.228055953979492
-4.450799,55.0205,NA,  NA,"NA",Ancula gibbosa,140029,0,140029,NA,NA
-4.678472,54.06288,19,2015, 6,Ancula gibbosa,140029,19,140029,11.175999641418457,11.225896835327148
0.8821559,51.77751,3,2014, 4,Ancula gibbosa,140029,3,140029,11.133999824523926,12.295086860656738
0.94686,51.76574,0,2008, 3,Ancula gibbosa,140029,0,140029,12.40999984741211,12.295259475708008
-4.1711059,53.222001,NA,1963, 3,Ancula gibbosa,140029,0,140029,NA,NA
-5.973363,50.17622,66,2014,11,Ancula gibbosa,140029,66,140029,12.49899959564209,11.20159912109375
1.052681,52.96562,5,2016, 7,Ancula gibbosa,140029,5,140029,10.994000434875488,10.851234436035156
-1.336997,54.88538,14.5999999,2017, 8,Ancula gibbosa,140029,14.5999999,140029,10.281999588012695,10.277251243591309
