decimalLongitude,decimalLatitude,depth,year,month,scientificName,aphiaID,depth0,valid_AphiaID,BO_sstmean,BO2_tempmean_bdmean
-70.8000030518,41.4000015259,18.29,1905, 7,Crisularia turrita,834044,18.29,834044,11.468999862670898,11.979235649108887
-70.6999969482,41.4500007629,NA,1903, 8,Crisularia turrita,834044,0,834044,11.53600025177002,11.987228393554688
-70.8000030518,41.4000015259,NA,1905, 7,Crisularia turrita,834044,0,834044,11.468999862670898,11.979235649108887
-70.7600021362,41.5299987793,14.63,1904, 8,Crisularia turrita,834044,14.63,834044,11.899999618530273,11.502638816833496
-70.7399978638,41.4099998474,22.86,1903, 8,Crisularia turrita,834044,22.86,834044,11.53600025177002,11.987228393554688
-70.9000015259,41.4099998474,NA,1905, 7,Crisularia turrita,834044,0,834044,11.663000106811523,11.530694961547852
-81.698852,25.954176,0,  NA,"NA",Crisularia turrita,834044,0,834044,27.531999588012695,25.786731719970703
-70.6399993896,41.6899986267,NA,1905, 8,Crisularia turrita,834044,0,834044,11.260000228881836,11.85289478302002
-70.8799972534,41.5900001526,7.31,1904, 8,Crisularia turrita,834044,7.31,834044,11.894000053405762,11.949296951293945
-70.8499984741,41.3699989319,NA,1905, 8,Crisularia turrita,834044,0,834044,11.383000373840332,11.016846656799316
-70.5899963379,41.5,NA,1905, 8,Crisularia turrita,834044,0,834044,11.399999618530273,11.87672233581543
-70.9199981689,41.4300003052,NA,1905, 7,Crisularia turrita,834044,0,834044,11.663000106811523,11.530694961547852
-70.7399978638,41.4500007629,NA,1904, 9,Crisularia turrita,834044,0,834044,11.53600025177002,11.987228393554688
-70.6399993896,41.6300010681,NA,1905, 8,Crisularia turrita,834044,0,834044,11.260000228881836,11.85289478302002
-70.8300018311,41.3600006104,13.254999999999999,1904, 8,Crisularia turrita,834044,13.254999999999999,834044,11.383000373840332,11.016846656799316
-70.7399978638,41.4700012207,NA,1904, 7,Crisularia turrita,834044,0,834044,11.53600025177002,11.987228393554688
-70.8499984741,41.4199981689,12.8,1903, 9,Crisularia turrita,834044,12.8,834044,11.626999855041504,11.886940002441406
-70.6600036621,41.4500007629,NA,1904, 8,Crisularia turrita,834044,0,834044,11.788000106811523,12.055002212524414
-70.9199981689,41.5299987793,NA,1909,"NA",Crisularia turrita,834044,0,834044,11.616999626159668,12.271316528320312
-70.9100036621,41.4000015259,23.77,1905, 7,Crisularia turrita,834044,23.77,834044,11.663000106811523,11.530694961547852
-71.967956543,41.3466796875,NA,2003, 8,Crisularia turrita,834044,0,834044,NA,NA
-70.5699996948,41.4799995422,15.54,1905, 8,Crisularia turrita,834044,15.54,834044,11.399999618530273,11.87672233581543
-70.6399993896,41.6500015259,NA,1905, 8,Crisularia turrita,834044,0,834044,11.260000228881836,11.85289478302002
-70.75,41.4199981689,NA,1903, 8,Crisularia turrita,834044,0,834044,11.468999862670898,11.979235649108887
-70.8300018311,41.5400009155,12.8,1909,"NA",Crisularia turrita,834044,12.8,834044,11.894000053405762,11.949296951293945
-70.6600036621,41.6800003052,NA,1905, 8,Crisularia turrita,834044,0,834044,11.260000228881836,11.85289478302002
-70.5899963379,41.5200004578,NA,1905, 8,Crisularia turrita,834044,0,834044,11.399999618530273,11.87672233581543
-70.6699981689,41.4399986267,12.8,1904,"NA",Crisularia turrita,834044,12.8,834044,11.53600025177002,11.987228393554688
-70.6100006104,41.5299987793,NA,1905, 8,Crisularia turrita,834044,0,834044,11.751999855041504,11.998616218566895
-70.7699966431,41.4300003052,NA,1904,"NA",Crisularia turrita,834044,0,834044,11.468999862670898,11.979235649108887
-70.7600021362,41.5299987793,NA,1904, 8,Crisularia turrita,834044,0,834044,11.899999618530273,11.502638816833496
-70.7099990845,41.4300003052,21.94,1904, 9,Crisularia turrita,834044,21.94,834044,11.53600025177002,11.987228393554688
-70.8499984741,41.3899993896,NA,1905, 7,Crisularia turrita,834044,0,834044,11.383000373840332,11.016846656799316
-70.6500015259,41.5699996948,NA,1909,"NA",Crisularia turrita,834044,0,834044,11.751999855041504,11.998616218566895
-70.9700012207,41.4000015259,14.170000000000002,1904, 8,Crisularia turrita,834044,14.170000000000002,834044,11.663000106811523,11.530694961547852
-70.6100006104,41.5299987793,13.71,1905, 8,Crisularia turrita,834044,13.71,834044,11.751999855041504,11.998616218566895
-70.6699981689,41.6899986267,4.57,1909,"NA",Crisularia turrita,834044,4.57,834044,11.711000442504883,11.840930938720703
-70.7300033569,41.5099983215,NA,1905, 7,Crisularia turrita,834044,0,834044,11.609999656677246,11.926885604858398
-70.8099975586,41.4099998474,NA,1903, 8,Crisularia turrita,834044,0,834044,11.468999862670898,11.979235649108887
-70.5800018311,41.4799995422,21.03,1905, 8,Crisularia turrita,834044,21.03,834044,11.399999618530273,11.87672233581543
-70.7699966431,41.4500007629,NA,1904, 9,Crisularia turrita,834044,0,834044,11.468999862670898,11.979235649108887
-70.9599990845,41.4399986267,NA,1909,"NA",Crisularia turrita,834044,0,834044,11.663000106811523,11.530694961547852
-70.8499984741,41.5699996948,NA,1907, 8,Crisularia turrita,834044,0,834044,11.894000053405762,11.949296951293945
-70.9599990845,41.4099998474,NA,1904, 8,Crisularia turrita,834044,0,834044,11.663000106811523,11.530694961547852
-70.7699966431,41.4099998474,NA,1904, 9,Crisularia turrita,834044,0,834044,11.468999862670898,11.979235649108887
-70.8600006104,41.3800010681,NA,1905, 8,Crisularia turrita,834044,0,834044,11.383000373840332,11.016846656799316
-70.6500015259,41.6699981689,6.395,1905, 8,Crisularia turrita,834044,6.395,834044,11.260000228881836,11.85289478302002
-70.8300018311,41.5400009155,NA,1904, 8,Crisularia turrita,834044,0,834044,11.894000053405762,11.949296951293945
-70.6672668457,41.5224685669,NA,2003, 8,Crisularia turrita,834044,0,834044,11.751999855041504,11.998616218566895
-71,41.283000946,37,1965, 8,Crisularia turrita,834044,37,834044,11.668999671936035,10.539891242980957
-70.75,41.4199981689,9.6,1903, 8,Crisularia turrita,834044,9.6,834044,11.468999862670898,11.979235649108887
-70.7099990845,41.4500007629,NA,1905, 8,Crisularia turrita,834044,0,834044,11.53600025177002,11.987228393554688
-73.5344772339,41.0328483582,NA,2003, 8,Crisularia turrita,834044,0,834044,12.835000038146973,13.59917163848877
-70.7600021362,41.3699989319,12.34,1904, 8,Crisularia turrita,834044,12.34,834044,11.437999725341797,12.009757995605469
-70.7399978638,41.4500007629,NA,1904,"NA",Crisularia turrita,834044,0,834044,11.53600025177002,11.987228393554688
