decimalLongitude,decimalLatitude,depth,year,month,scientificName,aphiaID,depth0,valid_AphiaID,BO_sstmean,BO2_tempmean_bdmean
-62.22225,46.90367,58.5,1997, 9,Halocynthia pyriformis,103828,58.5,103828,7.302999973297119,2.666161060333252
-62.85,46.96667,60.5,1994, 9,Halocynthia pyriformis,103828,60.5,103828,7.164000034332275,2.4288830757141113
-69.0305,48.683333,13.4,2011, 7,Halocynthia pyriformis,103828,13.4,103828,4.922999858856201,4.18189811706543
-66.9133,45.003611,10,2009, 8,Halocynthia pyriformis,103828,10,103828,7.947999954223633,7.998118877410889
-62.11667,48.18333,97,1995, 9,Halocynthia pyriformis,103828,97,103828,6.013999938964844,3.5524959564208984
-68.398,63.67,68,1973, 8,Halocynthia pyriformis,103828,68,103828,-0.11800000071525574,-0.9578049778938293
-60.63767,47.6085,65.5,1997, 9,Halocynthia pyriformis,103828,65.5,103828,6.2829999923706055,2.18072509765625
-66.9134,45.0035,NA,  NA,"NA",Halocynthia pyriformis,103828,0,103828,7.947999954223633,7.998118877410889
-64.08184,48.27684,84.5,1996, 9,Halocynthia pyriformis,103828,84.5,103828,5.98799991607666,2.493896961212158
-64.25,48.08333,23,1995, 9,Halocynthia pyriformis,103828,23,103828,6.304999828338623,3.383089065551758
-60.8,47.43333,57,1991, 9,Halocynthia pyriformis,103828,57,103828,6.309000015258789,2.9691689014434814
-61.0935,48.01184,111.5,1997, 9,Halocynthia pyriformis,103828,111.5,103828,6.072999954223633,6.155484199523926
-64.21667,47.98333,25.5,1994, 9,Halocynthia pyriformis,103828,25.5,103828,6.4710001945495605,3.988755941390991
-59.2435,46.310167,NA,  NA,"NA",Halocynthia pyriformis,103828,0,103828,6.954999923706055,5.220737934112549
-62.21667,47.68333,52.5,1994, 9,Halocynthia pyriformis,103828,52.5,103828,6.611999988555908,2.371088981628418
-67.1489444444,44.8706666667,NA,  NA,"NA",Halocynthia pyriformis,103828,0,103828,8.045000076293945,8.536896705627441
8.6998333333333,64.136166666667,265.395,2013,10,Halocynthia pyriformis,103828,265.395,103828,9.63700008392334,7.0652689933776855
-60.87475,47.85608,75,1996, 9,Halocynthia pyriformis,103828,75,103828,6.145999908447266,2.447329044342041
-63.61175,48.34892,83,1996, 9,Halocynthia pyriformis,103828,83,103828,5.875,2.948976993560791
-63.52775,48.46975,119,1996, 9,Halocynthia pyriformis,103828,119,103828,5.829999923706055,3.4671969413757324
-61.11667,47.81667,28.5,1995, 9,Halocynthia pyriformis,103828,28.5,103828,6.23799991607666,4.236841201782227
-66.9134,45.0035,NA,  NA,"NA",Halocynthia pyriformis,103828,0,103828,7.947999954223633,7.998118877410889
-66.9133,45.003333,10,2009, 8,Halocynthia pyriformis,103828,10,103828,7.947999954223633,7.998118877410889
-63.93333,47.63333,52,1995, 9,Halocynthia pyriformis,103828,52,103828,6.618000030517578,2.1385281085968018
-66.9135,45.0037,NA,  NA,"NA",Halocynthia pyriformis,103828,0,103828,7.947999954223633,7.998118877410889
-62.045,46.68025,55,1997, 9,Halocynthia pyriformis,103828,55,103828,7.385000228881836,2.68300199508667
-66.892333,42.081667,NA,  NA,"NA",Halocynthia pyriformis,103828,0,103828,10.322999954223633,7.747375965118408
-63.25,47.71667,76.5,1993, 9,Halocynthia pyriformis,103828,76.5,103828,6.703000068664551,1.6947239637374878
