decimalLongitude,decimalLatitude,depth,year,month,scientificName,aphiaID,depth0,valid_AphiaID,BO_sstmean,BO2_tempmean_bdmean
-60.4605,47.8747,442,2019, 8,Cyclopterus lumpus,127214,442,127214,6.2270002365112305,5.5867509841918945
4.05,56.6833,48,1994, 2,Cyclopterus lumpus,127214,48,127214,10.461000442504883,8.964648246765137
-55.39,51.19,155.5,2008,12,Cyclopterus lumpus,127214,155.5,127214,3.7139999866485596,0.9113519787788391
-47.73,46.99,178,1995,11,Cyclopterus lumpus,127214,178,127214,5.620999813079834,1.0341839790344238
9.8945,57.8963,63,2011, 1,Cyclopterus lumpus,127214,63,127214,10.534000396728516,8.882651329040527
-53.26,49.12,153.5,2002,11,Cyclopterus lumpus,127214,153.5,127214,4.966000080108643,-0.18324600160121918
-61.76,48.28,NA,1988, 1,Cyclopterus lumpus,127214,0,127214,5.892000198364258,5.986475944519043
-53.94,45.67,120,1990,11,Cyclopterus lumpus,127214,120,127214,6.835999965667725,3.021991014480591
-50.73,47.23,NA,1985, 5,Cyclopterus lumpus,127214,0,127214,5.7829999923706055,0.1681170016527176
-1,55.5833,87,1996, 4,Cyclopterus lumpus,127214,87,127214,10.670999526977539,8.003595352172852
11.65,57.1667,76,1990, 2,Cyclopterus lumpus,127214,76,127214,10.300999641418457,8.771251678466797
-56.26,45.34,NA,1985, 3,Cyclopterus lumpus,127214,0,127214,7.264999866485596,4.1965718269348145
-59.29,49.95,NA,1988, 1,Cyclopterus lumpus,127214,0,127214,5.24399995803833,6.276599884033203
-58.996333,45.888,NA,  NA,"NA",Cyclopterus lumpus,127214,0,127214,6.926000118255615,7.003359794616699
-56.29,46.27,NA,1986, 3,Cyclopterus lumpus,127214,0,127214,6.854000091552734,2.3892040252685547
-54.91,46.07,129,1991, 2,Cyclopterus lumpus,127214,129,127214,6.931000232696533,1.08741295337677
4.77667,52.9975,NA,1965,10,Cyclopterus lumpus,127214,0,127214,11.887999534606934,11.762517929077148
-55.58,45.34,71,1998, 4,Cyclopterus lumpus,127214,71,127214,7.28000020980835,3.199655055999756
-57.78,46.27,NA,1990, 2,Cyclopterus lumpus,127214,0,127214,7.019999980926514,5.527950763702393
16.7,57.4236,15,1996, 4,Cyclopterus lumpus,127214,15,127214,8.770999908447266,7.909486770629883
12.3,56.85,24,1989, 2,Cyclopterus lumpus,127214,24,127214,10.10099983215332,9.673765182495117
-57.09,46.53,NA,1988, 2,Cyclopterus lumpus,127214,0,127214,6.7779998779296875,5.11390495300293
4.77667,52.9975,NA,1976, 4,Cyclopterus lumpus,127214,0,127214,11.887999534606934,11.762517929077148
9.8833,57.9833,107,1994, 2,Cyclopterus lumpus,127214,107,127214,10.50100040435791,7.060495853424072
12.9278,55.7847,4,1991, 4,Cyclopterus lumpus,127214,4,127214,9.626999855041504,9.787604331970215
10.6,57.8333,105,1994, 1,Cyclopterus lumpus,127214,105,127214,10.293000221252441,9.870302200317383
-63.8379516602,47.5798187256,64.008,2004, 7,Cyclopterus lumpus,127214,64.008,127214,6.724999904632568,1.720837950706482
-61.8785,45.98292,45,2000, 9,Cyclopterus lumpus,127214,45,127214,8.128999710083008,4.2348761558532715
-55.33,53.67,193.5,1978,11,Cyclopterus lumpus,127214,193.5,127214,2.5380001068115234,1.3755179643630981
11.2514,58.6506,9,1995, 4,Cyclopterus lumpus,127214,9,127214,NA,NA
-59.8813,49.2485,272,2008, 7,Cyclopterus lumpus,127214,272,127214,5.544000148773193,6.251593112945557
-53.72,54.47,NA,1982,11,Cyclopterus lumpus,127214,0,127214,2.2760000228881836,2.5286200046539307
-57.49,47.19,NA,1979, 2,Cyclopterus lumpus,127214,0,127214,6.5970001220703125,6.536777973175049
11.827,56.6187,34,2003, 2,Cyclopterus lumpus,127214,34,127214,10.357999801635742,9.681600570678711
10,58.1167,235,1990, 2,Cyclopterus lumpus,127214,235,127214,10.479999542236328,6.713736057281494
-58.71,47.13,NA,1994, 1,Cyclopterus lumpus,127214,0,127214,6.526000022888184,5.6494832038879395
-62.445,63.75667,NA,  NA,"NA",Cyclopterus lumpus,127214,0,127214,0.1860000044107437,-0.5563240051269531
2.4451,53.7605,33,2009, 2,Cyclopterus lumpus,127214,33,127214,11.043999671936035,10.895355224609375
-53.59,50.22,NA,1988,11,Cyclopterus lumpus,127214,0,127214,3.9579999446868896,2.302359104156494
-56.75,46.94,102.5,2005, 5,Cyclopterus lumpus,127214,102.5,127214,6.7220001220703125,2.8688790798187256
-59.39,48.05,NA,1984, 1,Cyclopterus lumpus,127214,0,127214,6.433000087738037,3.8853659629821777
-59.72,49.69,NA,1988, 8,Cyclopterus lumpus,127214,0,127214,5.22599983215332,6.317722797393799
-63.18803333,47.92695,64,  NA,"NA",Cyclopterus lumpus,127214,64,127214,6.515999794006348,1.8765350580215454
11.5667,54.3833,26,1996,11,Cyclopterus lumpus,127214,26,127214,10.107000350952148,9.829768180847168
-66.583333,44.1,NA,  NA,"NA",Cyclopterus lumpus,127214,0,127214,7.797999858856201,7.784286022186279
-63.3087005615,48.0691986084,89.6112,2000, 9,Cyclopterus lumpus,127214,89.6112,127214,6.4029998779296875,1.9792540073394775
1.7048,59.3048,114,2010, 8,Cyclopterus lumpus,127214,114,127214,10.079000473022461,7.631789207458496
-55.14,52.27,NA,1990,11,Cyclopterus lumpus,127214,0,127214,2.992000102996826,0.19601699709892273
-54.54,50.72,231.5,2004,12,Cyclopterus lumpus,127214,231.5,127214,3.634000062942505,1.7206670045852661
