decimalLongitude,decimalLatitude,depth,year,month,scientificName,aphiaID,depth0,valid_AphiaID,BO_sstmean,BO2_tempmean_bdmean
167.8152,70.28123000000001,49,  NA,"NA",Boltenia ovifera,103815,49,103815,-0.24799999594688416,-0.7141199707984924
-70.483001709,42.516998291,69,1878, 9,Boltenia ovifera,103815,69,103815,10.616000175476074,7.563469886779785
-165.119995117,66.8499984741,27,  NA,"NA",Boltenia ovifera,103815,27,103815,2.2230000495910645,1.4981160163879395
-66.9136,45.003611,10,2007, 8,Boltenia ovifera,103815,10,103815,7.947999954223633,7.998118877410889
-168.149993896,67.5699996948,49,  NA,"NA",Boltenia ovifera,103815,49,103815,1.6419999599456787,0.8091710209846497
-167.5,68.3000030518,49,  NA,"NA",Boltenia ovifera,103815,49,103815,2.0160000324249268,1.0071320533752441
-68.398,63.67,148,1970, 8,Boltenia ovifera,103815,148,103815,-0.11800000071525574,-0.9578049778938293
-164.083328247,57.5972213745,46.6,1890, 6,Boltenia ovifera,103815,46.6,103815,4.557000160217285,2.646267890930176
-66.4166717529,44.5666694641,355,1966,10,Boltenia ovifera,103815,355,103815,8.227999687194824,10.528231620788574
-68.0083312988,42.0166702271,157,1883, 8,Boltenia ovifera,103815,157,103815,10.730999946594238,10.483181953430176
-170.016662598,56.6166687012,102,1893, 7,Boltenia ovifera,103815,102,103815,4.824999809265137,3.22986102104187
-159.125,57.6333312988,48,1890, 7,Boltenia ovifera,103815,48,103815,5.127999782562256,3.3297269344329834
-162.886672974,55.4683303833,30,1982, 8,Boltenia ovifera,103815,30,103815,5.571000099182129,5.022870063781738
-151.9899,71.35411,81.5,  NA,"NA",Boltenia ovifera,103815,81.5,103815,0.3009999990463257,-1.022137999534607
-69.9726028442,41.8348999023,NA,2007, 9,Boltenia ovifera,103815,0,103815,10.387999534606934,11.443180084228516
-63.597667,43.225,NA,  NA,"NA",Boltenia ovifera,103815,0,103815,9.07699966430664,10.754629135131836
-91.4,58,73,1965, 9,Boltenia ovifera,103815,73,103815,1.784000039100647,-0.4517959952354431
-163.96028,70.08647,29.5,  NA,"NA",Boltenia ovifera,103815,29.5,103815,1.2239999771118164,0.5941929817199707
-66.9136,45.003611,10,2007, 8,Boltenia ovifera,103815,10,103815,7.947999954223633,7.998118877410889
-68.977756,48.75863,7.7,2007, 8,Boltenia ovifera,103815,7.7,103815,4.926000118255615,4.344738960266113
-49.75,45.7333297729,64,1885, 6,Boltenia ovifera,103815,64,103815,7.138000011444092,3.4008870124816895
-159.583328247,57.2333297729,59,1890, 7,Boltenia ovifera,103815,59,103815,5.414999961853027,3.1202011108398438
-50.5666694641,46.96667099,123,1885, 6,Boltenia ovifera,103815,123,103815,5.888999938964844,0.3534049987792969
-55.8499984741,52.3330001831,50.5,1950, 8,Boltenia ovifera,103815,50.5,103815,3.015000104904175,2.6254239082336426
-163.96028,70.08647,29.5,  NA,"NA",Boltenia ovifera,103815,29.5,103815,1.2239999771118164,0.5941929817199707
-66.693167,41.924333,NA,  NA,"NA",Boltenia ovifera,103815,0,103815,10.098999977111816,7.915701866149902
-69.9529037476,41.8087005615,NA,2007, 9,Boltenia ovifera,103815,0,103815,10.387999534606934,11.443180084228516
167.3625,70.19445,51,  NA,"NA",Boltenia ovifera,103815,51,103815,-0.17900000512599945,-0.5717189908027649
-159.583328247,57.2333297729,59,1890, 7,Boltenia ovifera,103815,59,103815,5.414999961853027,3.1202011108398438
-66.5055618286,41.1722183228,91,1883, 9,Boltenia ovifera,103815,91,103815,11.152999877929688,14.409499168395996
-14.029999733,79.9899978638,85,1985, 7,Boltenia ovifera,103815,85,103815,-0.2329999953508377,-1.5705490112304688
-66.1669998169,41.7999992371,154,1967, 5,Boltenia ovifera,103815,154,103815,10.270999908447266,11.25761890411377
-67.1493,44.8711,NA,  NA,"NA",Boltenia ovifera,103815,0,103815,8.045000076293945,8.536896705627441
-153.0713,71.37341,72,  NA,"NA",Boltenia ovifera,103815,72,103815,0.42500001192092896,-0.6589130163192749
-64.1925,48.73472222,102,1959, 7,Boltenia ovifera,103815,102,103815,5.370999813079834,1.7635270357131958
-66.9134,45.0038,NA,  NA,"NA",Boltenia ovifera,103815,0,103815,7.947999954223633,7.998118877410889
-70.7376022339,42.5766983032,NA,2007, 7,Boltenia ovifera,103815,0,103815,9.95300006866455,10.930051803588867
-58.091833,45.508667,NA,  NA,"NA",Boltenia ovifera,103815,0,103815,7.214000225067139,8.306480407714844
-69.1669998169,40.783000946,62,1968, 8,Boltenia ovifera,103815,62,103815,11.246999740600586,10.350831985473633
-70.8809814453,42.5211181641,NA,2007,11,Boltenia ovifera,103815,0,103815,10.32699966430664,10.960347175598145
-164.25,66.8700027466,26,  NA,"NA",Boltenia ovifera,103815,26,103815,2.3340001106262207,1.5842640399932861
-69.016998291,43.3670005798,291,1966, 1,Boltenia ovifera,103815,291,103815,9.586000442504883,10.17822265625
-70.8554992676,42.5463485718,NA,2007, 8,Boltenia ovifera,103815,0,103815,10.32699966430664,10.960347175598145
-44.5833282471,46.8333282471,134,1886, 8,Boltenia ovifera,103815,134,103815,9.154999732971191,4.571878910064697
-68.9329986572,43.733001709,60,1968, 8,Boltenia ovifera,103815,60,103815,8.7910003662109375,6.489185810089111
-160.483337402,56.65832901,68,1890, 7,Boltenia ovifera,103815,68,103815,5.826000213623047,4.819910049438477
-70.5329971313,42.233001709,56,1959,10,Boltenia ovifera,103815,56,103815,10.668999671936035,7.403188228607178
-160.966995239,57,73.16,1960, 8,Boltenia ovifera,103815,73.16,103815,5.506999969482422,4.895650863647461
-69.1999969482,43.2000007629,183,1969, 8,Boltenia ovifera,103815,183,103815,10.015999794006348,10.347660064697266
161.5296,70.84544,46,  NA,"NA",Boltenia ovifera,103815,46,103815,-0.1599999964237213,-0.4790329933166504
-66.9136,45.003611,0,2008, 8,Boltenia ovifera,103815,0,103815,7.947999954223633,7.998118877410889
-64.32611111,48.80861111,73.2,1958, 8,Boltenia ovifera,103815,73.2,103815,5.586999893188477,3.0221030712127686
-163.02211,70.38871,30,  NA,"NA",Boltenia ovifera,103815,30,103815,0.9539999961853027,0.2174910008907318
-69,43.483001709,152,1969, 8,Boltenia ovifera,103815,152,103815,9.29800033569336,9.600393295288086
-58.585833,45.8885,NA,  NA,"NA",Boltenia ovifera,103815,0,103815,7.015999794006348,7.611845016479492
-63.142167,43.173333,NA,  NA,"NA",Boltenia ovifera,103815,0,103815,9.76200008392334,10.8250093460083
-169.633331299,57.53332901,71,1893, 8,Boltenia ovifera,103815,71,103815,4.551000118255615,2.5776240825653076
-159.50782,70.93133,43.6,  NA,"NA",Boltenia ovifera,103815,43.6,103815,-0.003000000026077032,-0.5561119914054871
-69.030828,48.700682,14.2,2007, 7,Boltenia ovifera,103815,14.2,103815,4.922999858856201,4.18189811706543
-66.4000015259,41.483001709,NA,1967, 5,Boltenia ovifera,103815,0,103815,10.430999755859375,11.629809379577637
-70.8382034302,42.5004005432,NA,2007, 7,Boltenia ovifera,103815,0,103815,10.32699966430664,10.960347175598145
-169.75,56.53332901,75,1893, 7,Boltenia ovifera,103815,75,103815,4.807000160217285,3.259748935699463
-70.8862991333,42.5402984619,NA,2007, 7,Boltenia ovifera,103815,0,103815,NA,NA
-68.3,58.83333333,30,1950, 7,Boltenia ovifera,103815,30,103815,0.5619999766349792,-0.5716170072555542
