decimalLongitude,decimalLatitude,depth,year,month,scientificName,aphiaID,depth0,valid_AphiaID,BO_sstmean,BO2_tempmean_bdmean
-5.964471,56.65817,16,1989, 6,Eubranchus exiguus,139765,16,139765,10.303999900817871,10.265908241271973
-5.221977,51.7383,NA,1973, 1,Eubranchus exiguus,139765,0,139765,12.178999900817871,11.845529556274414
1.05119,52.96783,5.349999905,2018, 7,Eubranchus exiguus,139765,5.349999905,139765,10.994000434875488,10.851234436035156
2.704457650448,51.464826480845,NA,  NA,"NA",Eubranchus exiguus,139765,0,139765,12.218999862670898,12.215728759765625
-5.27502,51.73836,18,2018, 6,Eubranchus exiguus,139765,18,139765,11.937999725341797,11.090065002441406
-8.492629,54.9939,7.799999955,1996, 7,Eubranchus exiguus,139765,7.799999955,139765,10.74899959564209,11.524706840515137
-5.653264,56.68173,13.5,2017, 4,Eubranchus exiguus,139765,13.5,139765,NA,NA
-5.394732,55.60797,4.5,2018, 4,Eubranchus exiguus,139765,4.5,139765,10.652999877929688,10.317350387573242
-4.781873,54.07625,16.5,2015, 6,Eubranchus exiguus,139765,16.5,139765,11.406000137329102,10.944886207580566
-6.241838,55.29258,NA,2016, 5,Eubranchus exiguus,139765,0,139765,10.819999694824219,10.23477840423584
-6.344798,49.95911,NA,1980, 7,Eubranchus exiguus,139765,0,139765,12.378000259399414,12.620359420776367
-5.233342,58.24998,NA,1984, 1,Eubranchus exiguus,139765,0,139765,NA,NA
-5.276892,51.7414,NA,1973, 1,Eubranchus exiguus,139765,0,139765,11.937999725341797,11.090065002441406
-5.27283,51.73312,NA,2002, 6,Eubranchus exiguus,139765,0,139765,11.937999725341797,11.090065002441406
-71.0497207642,42.357219696,NA,2007, 7,Eubranchus exiguus,139765,0,139765,10.460000038146973,11.167073249816895
-5.268410439009251,51.735102163821594,NA,1973, 6,Eubranchus exiguus,139765,0,139765,11.937999725341797,11.090065002441406
-7.064499,58.04342,21,2017, 6,Eubranchus exiguus,139765,21,139765,10.23799991607666,10.662734985351562
-6.590938,55.22032,NA,1979, 6,Eubranchus exiguus,139765,0,139765,10.904999732971191,10.78061294555664
-2.128394,55.90856,14,2016, 9,Eubranchus exiguus,139765,14,139765,10.185999870300293,9.30278205871582
-4.283648,53.15572,NA,1992, 6,Eubranchus exiguus,139765,0,139765,NA,NA
-5.245389,51.7371,NA,1991, 6,Eubranchus exiguus,139765,0,139765,11.937999725341797,11.090065002441406
-69.1020889282,44.104839325,NA,2007, 7,Eubranchus exiguus,139765,0,139765,NA,NA
-67.0555366,44.9095235,NA,  NA,"NA",Eubranchus exiguus,139765,0,139765,8.46399974822998,8.514484405517578
-3.196049,58.8656,8.5,2018,10,Eubranchus exiguus,139765,8.5,139765,9.85200023651123,9.288456916809082
-5.275494,51.7323,NA,1973, 1,Eubranchus exiguus,139765,0,139765,11.937999725341797,11.090065002441406
-6.241737,55.29282,20.5,2019, 5,Eubranchus exiguus,139765,20.5,139765,10.819999694824219,10.23477840423584
-4.831204,54.05482,11.5,2014, 8,Eubranchus exiguus,139765,11.5,139765,11.182000160217285,10.224316596984863
-4.1225505,53.237832,NA,1778, 1,Eubranchus exiguus,139765,0,139765,11.588000297546387,11.469403266906738
-5.221833,51.7375,NA,1973, 1,Eubranchus exiguus,139765,0,139765,12.178999900817871,11.845529556274414
-7.787202,55.25528,16.6000004,1993, 7,Eubranchus exiguus,139765,16.6000004,139765,10.293999671936035,11.449334144592285
-9.943011,53.6419,15.5,2019, 6,Eubranchus exiguus,139765,15.5,139765,11.208999633789062,11.867271423339844
-4.450799,55.0205,NA,  NA,"NA",Eubranchus exiguus,139765,0,139765,NA,NA
-5.600476,56.03274,5.25,2018, 4,Eubranchus exiguus,139765,5.25,139765,10.557999610900879,10.688929557800293
-70.881652832,42.5215988159,NA,2007, 7,Eubranchus exiguus,139765,0,139765,10.32699966430664,10.960347175598145
-5.271344,51.7322,NA,1973, 1,Eubranchus exiguus,139765,0,139765,11.937999725341797,11.090065002441406
-5.813909,59.12255,17.5,2013, 7,Eubranchus exiguus,139765,17.5,139765,10.668000221252441,9.741579055786133
-5.264269,51.73172,NA,1989, 6,Eubranchus exiguus,139765,0,139765,11.937999725341797,11.090065002441406
-65.80601556,44.97985204,NA,  NA,"NA",Eubranchus exiguus,139765,0,139765,8.034000396728516,6.579347133636475
-6.939332,57.74518,20,2017, 6,Eubranchus exiguus,139765,20,139765,NA,NA
-7.799028,55.21811,8.5,1993, 7,Eubranchus exiguus,139765,8.5,139765,10.293999671936035,11.449334144592285
-69.0612869263,44.2094802856,NA,2007, 7,Eubranchus exiguus,139765,0,139765,9.019000053405762,9.378337860107422
-70.5023727417,41.771068573,NA,2000, 8,Eubranchus exiguus,139765,0,139765,10.730999946594238,10.707670211791992
-70.6807174683,42.61302948,NA,2000, 8,Eubranchus exiguus,139765,0,139765,9.95300006866455,10.930051803588867
-5.102423,58.41895,20,2019, 5,Eubranchus exiguus,139765,20,139765,9.883000373840332,10.285540580749512
-5.278791818750295,51.738410921829626,NA,2010, 6,Eubranchus exiguus,139765,0,139765,11.937999725341797,11.090065002441406
-4.715193,54.07778,13.8499999,2017, 6,Eubranchus exiguus,139765,13.8499999,139765,11.175999641418457,11.225896835327148
-5.549384,54.37012,NA,1976, 6,Eubranchus exiguus,139765,0,139765,10.614999771118164,11.075872421264648
-5.433338,58.04331,NA,1984, 1,Eubranchus exiguus,139765,0,139765,10.048999786376953,10.09650707244873
-5.246996,51.7387,NA,1973, 1,Eubranchus exiguus,139765,0,139765,11.937999725341797,11.090065002441406
-5.464281666667,54.595026666667,NA,2014, 9,Eubranchus exiguus,139765,0,139765,10.826000213623047,10.956418991088867
-4.362063,54.3429,13.5,2015, 6,Eubranchus exiguus,139765,13.5,139765,11.175999641418457,11.152448654174805
-5.244863,51.73744,15,2014, 6,Eubranchus exiguus,139765,15,139765,11.937999725341797,11.090065002441406
-6.515493,57.33383,11,2019, 7,Eubranchus exiguus,139765,11,139765,10.437000274658203,10.232892990112305
-5.209481,51.69915,16.5,2013, 6,Eubranchus exiguus,139765,16.5,139765,11.829000473022461,10.939772605895996
-5.277066,51.74001,31,2014, 6,Eubranchus exiguus,139765,31,139765,11.937999725341797,11.090065002441406
1.615055,50.77295,NA,  NA,"NA",Eubranchus exiguus,139765,0,139765,12.189000129699707,12.517813682556152
-4.171852,53.22255,NA,1992, 6,Eubranchus exiguus,139765,0,139765,NA,NA
-5.653264,56.68173,14.5,2017, 4,Eubranchus exiguus,139765,14.5,139765,NA,NA
-9.829005,51.77566,NA,2007, 8,Eubranchus exiguus,139765,0,139765,12.404999732971191,12.24328899383545
-71.3253479004,41.5055007935,NA,2000, 8,Eubranchus exiguus,139765,0,139765,11.65999984741211,12.421276092529297
-5.229474,51.7386,NA,1973, 1,Eubranchus exiguus,139765,0,139765,11.937999725341797,11.090065002441406
-5.526054,54.33712,NA,1976, 6,Eubranchus exiguus,139765,0,139765,10.890999794006348,10.794981002807617
-5.288497,51.7434,NA,1973, 1,Eubranchus exiguus,139765,0,139765,11.937999725341797,11.090065002441406
-9.829005,51.77566,17.5,2007, 8,Eubranchus exiguus,139765,17.5,139765,12.404999732971191,12.24328899383545
-5.275166,56.54472,12.6000004,2017, 9,Eubranchus exiguus,139765,12.6000004,139765,9.213000297546387,10.321294784545898
-5.254423,51.7354,NA,1973, 1,Eubranchus exiguus,139765,0,139765,11.937999725341797,11.090065002441406
-5.284844,51.7304,NA,1973, 1,Eubranchus exiguus,139765,0,139765,11.937999725341797,11.090065002441406
-5.286828,51.7302,NA,1973, 1,Eubranchus exiguus,139765,0,139765,11.937999725341797,11.090065002441406
-9.826605,51.555,13.750000495000002,1993, 6,Eubranchus exiguus,139765,13.750000495000002,139765,12.128000259399414,11.05817699432373
7.557706,53.911656,NA,  NA,"NA",Eubranchus exiguus,139765,0,139765,11.213000297546387,10.935748100280762
-67.0220108032,44.8907012939,NA,2005, 8,Eubranchus exiguus,139765,0,139765,8.46399974822998,8.514484405517578
-5.544442,56.99649,17.5,1984, 7,Eubranchus exiguus,139765,17.5,139765,NA,NA
-5.274676,51.7316,NA,1973, 1,Eubranchus exiguus,139765,0,139765,11.937999725341797,11.090065002441406
-1.950661,50.60883,NA,2019, 4,Eubranchus exiguus,139765,0,139765,12.5649995803833,12.297306060791016
-5.233276,51.71962,NA,1973, 6,Eubranchus exiguus,139765,0,139765,11.937999725341797,11.090065002441406
-5.263813764800799,51.73163182382621,NA,1989, 6,Eubranchus exiguus,139765,0,139765,11.937999725341797,11.090065002441406
-5.295220505877754,51.74514744415104,NA,1989, 6,Eubranchus exiguus,139765,0,139765,11.937999725341797,11.090065002441406
