"gen_spp","species_id","n_obis_rec","BO_sstmean_NA","BO2_tempmean_bdmean_NA","BO_sstmean_mean","BO2_tempmean_bdmean_mean","BO_sstmean_min","BO2_tempmean_bdmean_min","BO_sstmean_max","BO2_tempmean_bdmean_max","BO_sstmean_median","BO2_tempmean_bdmean_median","BO_sstmean_sd","BO2_tempmean_bdmean_sd","BO_sstmean_mad","BO2_tempmean_bdmean_mad","BO_sstmean_q5","BO2_tempmean_bdmean_q5","BO_sstmean_q95","BO2_tempmean_bdmean_q95"
"Punctaria latifolia",145346,98,2,2,12.6654583364725,11.2367469966412,6.7960000038147,1.11071300506592,19.5860004425049,21.454381942749,11.9710001945496,11.1776371002197,3.08599372264196,3.32748133412565,1.83990686016083,1.35100245265961,6.9962500333786,6.85142803192139,19.245500087738,18.1988387107849
"Saccharina latissima",234483,25418,1231,1246,10.1756184402911,9.9041268335541,-0.312999993562698,-0.739673972129822,29.8799991607666,29.3674850463867,10.1239995956421,10.0592021942139,1.71009028030164,1.84316566132934,0.853977916717529,0.82651681022644,6.20699977874756,6.28476476669312,12.5649995803833,12.4997386932373
"Cylista elegans",1471945,10398,1326,1326,11.3704076270052,10.9638850706542,7.15999984741211,2.1012818813324,15.2690000534058,13.8732614517212,11.3800001144409,11.0074872970581,0.986990337455399,0.945793984595494,1.15939258918762,0.931585022735596,9.80200004577637,9.30278205871582,12.7889995574951,12.408792591095
"Schizoporella unicornis",111538,576,32,32,17.1283676554175,16.6165862548001,8.25899982452393,2.60964202880859,29.1219997406006,27.0333824157715,12.701000213623,12.6665735244751,6.59147698993256,6.75204244966128,4.56640859384537,5.39071050224304,10.08899974823,8.29829406738281,26.0900001525879,26.0039215087891
"Aquiloniella scabra",760213,71,1,1,9.33761438003608,8.70933242440224,-1.11600005626678,-0.984080016613007,25.8199996948242,22.355001449585,9.99399995803833,8.63496398925781,4.74965048219891,4.22828806719756,2.02078367557526,2.60119329156876,0.767850014567375,1.11144024133682,13.079899930954,12.5809049606323
"Semibalanus balanoides",106210,16689,2593,2612,10.4916833719669,10.4232338059489,-0.776000022888184,-1.00470304489136,28.6660003662109,28.7193622589111,10.7370004653931,10.6715221405029,1.97337033955518,1.96802616572303,1.39809297637939,1.3636852930069,7.50400018692017,7.79052400588989,12.6129999160767,12.6149749755859
"Solaster endeca",124160,2796,111,113,8.5777057757863,7.35560987198373,-0.42399999499321,-1.39933705329895,18.4330005645752,12.7934665679932,8.96399974822998,8.84754180908203,2.34309585504842,3.32508252892065,2.08601758918762,2.7651547044754,4.42379989624024,1.42342855930328,11.070599937439,10.9448862075806
"Strongylocentrotus droebachiensis",124321,9041,56,57,7.46402381320709,5.56727841086516,-0.541999995708466,-1.33906304836273,20.6580009460449,22.0762214660645,7.20900011062622,4.3805980682373,2.22532284731631,3.51178127295865,2.00892302827835,3.13142297401428,4.83799982070923,1.66695103645325,11.1287998199463,11.9325380802155
"Styela canopus",103926,768,70,70,20.3814628158394,18.7210622472544,8.03400039672852,1.07723605632782,29.8020000457764,28.9685916900635,22.1380004882812,21.4760437011719,6.29832832143031,7.13610662513307,7.39669187507629,8.35923886413574,11.4919996261597,6.57773172855377,27.8252497673035,27.1684875488281
"Styela clava",103929,2943,305,305,11.822344920055,11.7436651577545,5.11100006103516,1.18518900871277,27.5629997253418,22.7977561950684,12.335000038147,12.219708442688,2.18875534262431,2.04970235941686,0.650861592292786,0.644614904594421,7.44399976730347,7.45280694961548,15.8624497890472,13.8194189071655
"Tautogolabrus adspersus",159785,9302,238,238,9.15160989361533,8.0771717891633,4.16699981689453,-0.130134999752045,29.5820007324219,29.6918869018555,8.85000038146973,7.81042003631592,1.68910025309052,2.29181313003492,1.87104203138351,2.07978221282959,6.99100017547607,4.66734383106232,11.7519998550415,11.9222434997559
"Duvaucelia plebeia",1473658,180,6,6,11.1192183604186,10.7972204548189,8.60299968719482,8.58267211914062,17.0410003662109,17.4724197387695,11.1724996566772,10.8053708076477,1.18693040384985,1.22468045780347,1.44182898073196,0.97141437292099,9.47879977226257,9.25546183586121,12.7341995716095,12.3361262321472
"Ulvaria subbifurcata",159821,3422,20,20,8.06726485117613,7.1136531604262,0.135000005364418,-0.941434025764465,19.2169990539551,19.8667030334473,8.0935001373291,7.07009220123291,1.63630402060362,2.85310054617338,1.07340271954536,2.44314417486191,4.92899990081787,1.69055126905441,10.5035997390747,11.6190948486328
