"gen_spp","species_id","n_obis_rec","BO_sstmean_NA","BO21_tempmax_bdmean_NA","BO_sstmean_mean","BO21_tempmax_bdmean_mean","BO_sstmean_min","BO21_tempmax_bdmean_min","BO_sstmean_max","BO21_tempmax_bdmean_max","BO_sstmean_median","BO21_tempmax_bdmean_median","BO_sstmean_sd","BO21_tempmax_bdmean_sd","BO_sstmean_mad","BO21_tempmax_bdmean_mad","BO_sstmean_q5","BO21_tempmax_bdmean_q5","BO_sstmean_q95","BO21_tempmax_bdmean_q95"
"Metridium senile",100982,10776,1120,1120,11.1304100988172,15.5503299347948,1.12800002098083,-0.819666981697083,29.1800003051758,30.9613056182861,11.0600004196167,15.1739196777344,1.811971310549,2.61139333211523,1.38178202362061,1.9014278263092,9.10799980163574,11.7676110267639,12.9259996414185,19.4596843719482
"Modiolus modiolus",140467,8324,696,696,10.4501921829827,15.8478440237439,0.50900000333786,1.79657697677612,28.746000289917,32.187370300293,10.3339996337891,15.0491018295288,2.10566451069259,3.3362167428602,1.32099629459381,1.84015853748322,8.0320502281189,10.9476022720337,12.3871002197266,21.5307273864746
"Molgula citrina",103775,367,20,20,9.52381560781847,12.6808648358504,-0.65499997138977,-0.915023028850555,25.6219997406006,30.2415561676025,10.0229997634888,13.3704881668091,2.16898950962655,4.85277762400492,0.547080044746399,6.72804461402893,5.29400014877319,5.85280084609985,12.3225003242493,20.6861324310303
"Molgula manhattensis",103788,2847,264,264,12.6593596271614,18.6291471457601,4.72300004959106,1.17718398571014,28.7350006103516,31.1996898651123,11.9379997253418,17.5965938568115,2.60913404240433,4.43318676777766,1.08229732131958,3.22738131580353,9.85400009155273,14.2632856369019,16.5170001983643,27.8184394836426
"Mytilus edulis",140480,109620,7559,7560,9.81019364284068,17.3615127770119,-1.19700002670288,-0.915023028850555,29.117000579834,31.3118190765381,9.63399982452393,17.9052867889404,1.70228739677942,3.35239680266466,1.63234235115051,3.64978211174011,7.83300018310547,11.3360147476196,12.5369997024536,20.7935390472412
"Peyssonnelia rosenvingei",374814,429,0,0,12.4048720762168,12.7397884333328,4.41800022125244,4.73478221893311,26.5979995727539,30.2113361358643,12.8970003128052,12.9849805831909,2.38315154227417,2.21675311952841,0,0,5.54199981689453,9.62968826293945,12.8970003128052,12.9849805831909
"Spirorbis (Spirorbis) spirorbis",334842,2583,294,294,10.9744503582316,16.852802270785,-0.368999987840652,0.0523409992456436,29.3999996185303,29.8910942077637,10.8219995498657,16.471736907959,2.61009221951203,2.83725575992558,1.61899921131134,2.41560035419464,7.72700023651123,13.781724357605,12.878999710083,21.365104675293
"Styela clava",103929,3624,381,381,12.5739130237166,18.8323812771093,5.11100006103516,0.936272025108337,29.0179996490479,30.1663246154785,12.4930000305176,18.2088508605957,2.80204735742778,3.2766839762452,1.48408319950104,2.96919573097229,7.44769978523254,15.089485168457,17.9029998779297,26.3408718109131
"Sycon ciliatum",132251,7847,762,762,11.574736754959,15.8681379984867,-0.676999986171722,2.11402797698975,29.3999996185303,29.8910942077637,11.6490001678467,15.6762962341309,1.15140299930084,1.91811723613916,1.20238840770721,1.72895533676147,9.9378002166748,12.994176864624,12.9219999313354,18.5355911254883
"Ectopleura crocea",117981,1572,57,57,12.6799949495706,16.9514544544244,-1.35300004482269,-0.640832006931305,28.8080005645752,31.3642864227295,12.7580003738403,15.5607042312622,2.79670597640277,4.06135601307548,0,0,10.7309999465942,15.5607042312622,16.152799987793,23.3291658401488
